b;Taśma kalenicowa Vent-roll 300 mm aluminiowa;10.5;tasma kalenicowa;;;;;;PODSTAWOWY
b;Taśma kalenicowa Vent-roll 300 mm miedziana;29.04;tasma kalenicowa;;;;;;BRAK
b;Taśma kalenicowa Vent-roll 390 mm aluminiowa;14.52;tasma kalenicowa;;;;;;PREMIUM
b;Taśma kalenicowa Vent-roll 390 mm miedziana;48.39;tasma kalenicowa;;;;;;BRAK
b;Taśma kalenicowa Vental Respiro;21.3;tasma kalenicowa;;;;;;LUX
b;Taśma kalenicowa aluminiowa;17.74;tasma kalenicowa;;;;;;BRAK
b;Taśma kalenicowa Blach-vent i Blach-vent plus;14.67;tasma kalenicowa;;;;;;BRAK
b;Wywietrznik kalenicowy ze szczotką WK 62, WK 75;31.29;tasma kalenicowa;;;;;;BRAK
b;Wywietrznik kalenicowy do gontów bitumicznych;80.65;tasma kalenicowa;;;;;;BRAK
b;Wspornik łaty kalenicowej gwóźdź 210mm ocynk ogniowy;2.49;wspornik;;;;;;PODSTAWOWY
b;Wspornik łaty kalenicowej gwóźdź 230mm ocynk ogniowy;2.97;wspornik;;;;;;BRAK
b;Wspornik łaty kalenicowej typu BL - blaszka;3;wspornik;;;;;;PREMIUM
b;Wspornik łaty kalenicowej gwóźdź 210mm ocynk galwaniczny;2.25;wspornik;;;;;;LUX
b;Wspornik łaty kalenicowej gwóźdź do 260mm ocynk ogniowy;2.97;wspornik;;;;;;BRAK
b;Taśma do obróbki komina aluminiowa Eurotec Classic;29.7;tasma do obrobki;;;;;;PODSTAWOWY
b;Taśma do obróbki komina aluminiowa Eurotec Fortis AL;29.7;tasma do obrobki;;;;;;BRAK
b;Taśma do obróbki komina ołowiana Eurotec PB3;64.5;tasma do obrobki;;;;;;PREMIUM
b;Taśma do obróbki komina ołowiana Eurotec PB;73.8;tasma do obrobki;;;;;;BRAK
b;Taśma do obróbki komina ołowiana Eurotec Fortis PB;73.8;tasma do obrobki;;;;;;LUX
b;Taśma do obróbki komina ołowiana Eurotec N;87;tasma do obrobki;;;;;;BRAK
b;Listwa wykończeniowa aluminiowa;19.5;listwa;;;;;;PODSTAWOWY
b;Kosz dachowy aluminiowy 2mb;56;kosz;;;;;;PODSTAWOWY
b;Kosz dachowy aluminiowy 6mb rolka;168;kosz;;;;;;PREMIUM
b;Klamra do mocowania kosza;0.6;klamra do mocowania kosza;;;;;;PODSTAWOWY
b;Samoprzylepny klin uszczelniający kosz 60 mm;2.25;tasma samorozprezna;;;;;;PODSTAWOWY
b;Taśma samorozprężna 20x6/50;64.52;tasma samorozprezna;;;;;;PREMIUM
b;Taśma samorozprężna 20x8/40;70.97;tasma samorozprezna;;;;;;LUX
b;Grzebień okapowy płaski ECO 55;2.25;grzebien;;;;;;PODSTAWOWY
b;Grzebień okapowy płaski 55;2.58;grzebien;;;;;;PREMIUM
